Sequence_category,model,score
human,AB-LSTM,1.2028523683547974
human,AB-LSTM,0.5173488855361938
human,AB-LSTM,0.5538977384567261
human,AB-LSTM,1.178563117980957
human,AB-LSTM,0.5978946089744568
human,AB-LSTM,0.6054345369338989
human,AB-LSTM,0.8025373816490173
human,AB-LSTM,0.49947184324264526
human,AB-LSTM,0.6732139587402344
human,AB-LSTM,1.0320677757263184
human,AB-LSTM,0.8620657324790955
human,AB-LSTM,1.1216706037521362
human,AB-LSTM,0.6622908115386963
human,AB-LSTM,0.5517653822898865
human,AB-LSTM,0.8428798317909241
human,AB-LSTM,0.5947355031967163
human,AB-LSTM,1.008726716041565
human,AB-LSTM,0.7266480326652527
human,AB-LSTM,1.0602529048919678
human,AB-LSTM,0.5875605940818787
human,AB-LSTM,0.4210653603076935
human,AB-LSTM,0.8053587675094604
human,AB-LSTM,0.7729349732398987
human,AB-LSTM,0.45808714628219604
human,AB-LSTM,0.551245927810669
human,AB-LSTM,0.5860628485679626
human,AB-LSTM,0.6711620688438416
human,AB-LSTM,0.7361902594566345
human,AB-LSTM,0.6986455321311951
human,AB-LSTM,0.7623351216316223
human,AB-LSTM,0.6493514776229858
human,AB-LSTM,0.6362261772155762
human,AB-LSTM,1.0084120035171509
human,AB-LSTM,0.560702919960022
human,AB-LSTM,0.78273606300354
human,AB-LSTM,1.045678973197937
human,AB-LSTM,0.9237492680549622
human,AB-LSTM,0.9285092353820801
human,AB-LSTM,0.9373400807380676
human,AB-LSTM,0.5648539066314697
human,AB-LSTM,0.7409400343894958
human,AB-LSTM,0.4743088185787201
human,AB-LSTM,0.9064546227455139
human,AB-LSTM,0.9223036766052246
human,AB-LSTM,0.628917932510376
human,AB-LSTM,1.2054145336151123
human,AB-LSTM,0.5989489555358887
human,AB-LSTM,1.1222312450408936
human,AB-LSTM,1.1095119714736938
human,AB-LSTM,0.5515515804290771
human,AB-LSTM,0.5307079553604126
human,AB-LSTM,0.6156608462333679
human,AB-LSTM,0.8693990111351013
human,AB-LSTM,0.4618891477584839
human,AB-LSTM,1.1072752475738525
human,AB-LSTM,0.5676044821739197
human,AB-LSTM,0.4883289039134979
human,AB-LSTM,0.7567323446273804
human,AB-LSTM,0.5483646988868713
human,AB-LSTM,0.58785080909729
human,AB-LSTM,1.3884124755859375
human,AB-LSTM,1.3109761476516724
human,AB-LSTM,0.9519384503364563
human,AB-LSTM,0.5174824595451355
human,AB-LSTM,0.9577221870422363
human,AB-LSTM,1.0781948566436768
human,AB-LSTM,0.700458824634552
human,AB-LSTM,0.5374640822410583
human,AB-LSTM,0.5391377806663513
human,AB-LSTM,0.7764008641242981
human,AB-LSTM,0.5730153322219849
human,AB-LSTM,0.6320995688438416
human,AB-LSTM,0.5209040641784668
human,AB-LSTM,0.7062077522277832
human,AB-LSTM,0.9393371343612671
human,AB-LSTM,0.7206535935401917
human,AB-LSTM,0.675823986530304
human,AB-LSTM,0.9850672483444214
human,AB-LSTM,0.7366949319839478
human,AB-LSTM,0.7422313690185547
human,AB-LSTM,0.49208828806877136
human,AB-LSTM,0.7359836101531982
human,AB-LSTM,0.7018985152244568
human,AB-LSTM,0.4875687062740326
human,AB-LSTM,0.4818355441093445
human,AB-LSTM,0.506019115447998
human,AB-LSTM,1.1378488540649414
human,AB-LSTM,0.6877992153167725
human,AB-LSTM,1.0383822917938232
human,AB-LSTM,0.45755237340927124
human,AB-LSTM,0.9505236744880676
human,AB-LSTM,0.5651095509529114
human,AB-LSTM,0.6025894284248352
human,AB-LSTM,0.6421554088592529
human,AB-LSTM,0.5996490716934204
human,AB-LSTM,0.5805164575576782
human,AB-LSTM,1.2407325506210327
human,AB-LSTM,0.49989116191864014
human,AB-LSTM,1.2436853647232056
human,AB-LSTM,1.192108392715454
human,AB-LSTM,1.2115494012832642
human,AB-LSTM,1.0110301971435547
human,AB-LSTM,0.6791957020759583
human,AB-LSTM,1.0963809490203857
human,AB-LSTM,0.5336459875106812
human,AB-LSTM,0.6138912439346313
human,AB-LSTM,0.7991827726364136
human,AB-LSTM,0.5007740259170532
human,AB-LSTM,0.6844898462295532
human,AB-LSTM,0.9096906185150146
human,AB-LSTM,1.2313461303710938
human,AB-LSTM,0.5014280676841736
human,AB-LSTM,1.3803521394729614
human,AB-LSTM,0.7502723932266235
human,AB-LSTM,0.6557897329330444
human,AB-LSTM,0.7369908690452576
human,AB-LSTM,0.6377226114273071
human,AB-LSTM,1.1212561130523682
human,AB-LSTM,0.5846562385559082
human,AB-LSTM,0.7950688600540161
human,AB-LSTM,1.0682451725006104
human,AB-LSTM,0.8350924253463745
human,AB-LSTM,0.5729951858520508
human,AB-LSTM,0.8845115900039673
human,AB-LSTM,0.921651303768158
human,AB-LSTM,1.1554222106933594
human,AB-LSTM,0.6159834861755371
human,AB-LSTM,0.6119457483291626
human,AB-LSTM,0.7896438241004944
human,AB-LSTM,0.9734465479850769
human,AB-LSTM,1.0318840742111206
human,AB-LSTM,0.4906422793865204
human,AB-LSTM,0.8323965072631836
human,AB-LSTM,0.5726569890975952
human,AB-LSTM,0.6205000281333923
human,AB-LSTM,0.5133025646209717
human,AB-LSTM,1.342951774597168
human,AB-LSTM,0.860137939453125
human,AB-LSTM,0.6187500953674316
human,AB-LSTM,0.914652943611145
human,AB-LSTM,0.4923829734325409
human,AB-LSTM,0.42910078167915344
human,AB-LSTM,0.8867896199226379
human,AB-LSTM,0.5366652607917786
human,AB-LSTM,0.6902793049812317
human,AB-LSTM,0.5451433658599854
human,AB-LSTM,0.8333171010017395
human,AB-LSTM,0.9549400806427002
human,AB-LSTM,0.6860211491584778
human,AB-LSTM,0.6886483430862427
human,AB-LSTM,1.4076367616653442
human,AB-LSTM,0.9552162289619446
human,AB-LSTM,0.7831472754478455
human,AB-LSTM,0.9590939879417419
human,AB-LSTM,0.6300472617149353
human,AB-LSTM,0.8572540879249573
human,AB-LSTM,0.49510490894317627
human,AB-LSTM,1.1969236135482788
human,AB-LSTM,1.105857253074646
human,AB-LSTM,1.107397198677063
